,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,passage,tags,type
0,0,0,0,0,"What every American and community can do now to decrease the spread of the coronavirus
",[],coronavirus
1,1,1,1,1,"Keeping the workplace safe
",[],coronavirus
2,2,2,2,2,"Encourage your employees to…
",[],coronavirus
3,3,3,3,3,"Practice good hygiene

* Stop handshaking – use other noncontact methods of greeting

* Clean hands at the door and schedule regular hand washing reminders by email

* Create habits and reminders to avoid touching their faces and cover coughs and sneezes

* Disinfect surfaces like doorknobs, tables, desks, and handrails regularly

* Increase ventilation by opening windows or adjusting air conditioning
",[],coronavirus
4,4,4,4,4,"Be careful with meetings and travel

* Use videoconferencing for meetings when possible

* When not possible, hold meetings in open, well-ventilated spaces

* Consider adjusting or postponing large meetings or gatherings

* Assess the risks of business travel
",[],coronavirus
5,5,5,5,5,"Handle food carefully

* Limit food sharing

* Strengthen health screening for cafeteria staff and their close contacts

* Ensure cafeteria staff and their close contacts practice strict hygiene
",[],coronavirus
6,6,6,6,6,"Stay home if…

* They are feeling sick

* They have a sick family member in their home
",[],coronavirus
7,7,7,7,7,"Keeping the school safe
",[],coronavirus
8,8,8,8,8,"Encourage your faculty, staff, and students to…
",[],coronavirus
9,9,9,9,9,"Practice good hygiene

* Stop handshaking – use other noncontact methods of greeting

* Clean hands at the door and at regular intervals

* Create habits and reminders to avoid touching their faces and cover coughs and sneezes

* Disinfect surfaces like doorknobs, tables, desks, and handrails regularly

* Increase ventilation by opening windows or adjusting air conditioning
",[],coronavirus
10,10,10,10,10,"Handle food carefully

* Limit food sharing

* Strengthen health screening for cafeteria staff and their close contacts

* Ensure cafeteria staff and their close contacts practice strict hygiene
",[],coronavirus
11,11,11,11,11,"Stay home if…

* They are feeling sick

* They have a sick family member in their home
",[],coronavirus
12,12,12,12,12,"Consider rearranging large activities and gatherings

* Consider adjusting or postponing gatherings that mix between classes and grades

* Adjust after-school arrangements to avoid mixing between classes and grades

* When possible, hold classes outdoors or in open, well-ventilated spaces
",[],coronavirus
13,13,13,13,13,"Keeping the home safe
",[],coronavirus
14,14,14,14,14,"Encourage your family members to…
",[],coronavirus
15,15,15,15,15,"All households

* Clean hands at the door and at regular intervals

* Create habits and reminders to avoid touching their face and cover coughs and sneezes

* Disinfect surfaces like doorknobs, tables, and handrails regularly

* Increase ventilation by opening windows or adjusting air conditioning
","[{'text': 'face', 'sem_type': 'subdivision of head', 'concept_id': 'http://purl.obolibrary.org/obo/UBERON_0001456', 'start_span': 122, 'end_span': 126}]",coronavirus
